type_alerte,metrique,valeur_mesuree,seuil,unite,ratio_seuil,severite,equipement,heure,jour_semaine,is_anomalie
AUTH_FAILURE,AUTH_FAIL,37.21,5,count,7.442,CRITIQUE,BIZ-ENB-022,1,0,1
CPU_HIGH,CPU,60.59,85,%,0.7128,CRITIQUE,BIZ-ENB-022,1,0,0
POWER_FAIL,VOLTAGE,49.88,48,V,1.0392,MINEURE,TUN-RTR-CORE-01,23,2,0
POWER_FAIL,VOLTAGE,49.53,48,V,1.0319,MINEURE,ARI-ENB-014,21,3,0
DISK_FULL,DISK,86.22,90,%,0.958,MAJEURE,ARI-ENB-014,16,4,0
LINK_DOWN,LINK_STATUS,0.0,1,etat,0.0,MAJEURE,TUN-RTR-CORE-01,17,1,0
POWER_FAIL,VOLTAGE,52.02,48,V,1.0837,CRITIQUE,TUN-RTR-CORE-01,19,5,0
LINK_DOWN,LINK_STATUS,0.0,1,etat,0.0,MINEURE,ARI-ENB-014,0,0,0
POWER_FAIL,VOLTAGE,48.12,48,V,1.0025,MAJEURE,BIZ-ENB-022,9,1,0
AUTH_FAILURE,AUTH_FAIL,1.26,5,count,0.252,CRITIQUE,BIZ-ENB-022,3,6,0
LINK_DOWN,LINK_STATUS,0.0,1,etat,0.0,MAJEURE,TUN-RTR-CORE-01,23,4,0
LINK_DOWN,LINK_STATUS,0.0,1,etat,0.0,CRITIQUE,SOU-SRV-OSS-01,23,6,1
RAM_HIGH,RAM,55.19,90,%,0.6132,MINEURE,BIZ-ENB-022,11,5,0
DISK_FULL,DISK,61.74,90,%,0.686,MAJEURE,NAB-ENER-031,19,3,0
LINK_DOWN,LINK_STATUS,0.0,1,etat,0.0,MAJEURE,SOU-SRV-OSS-01,2,3,0
DISK_FULL,DISK,85.9,90,%,0.9544,CRITIQUE,TUN-RTR-CORE-01,5,0,0
LINK_DOWN,LINK_STATUS,0.0,1,etat,0.0,MAJEURE,NAB-ENER-031,7,3,0
SERVICE_DOWN,SERVICE,1.0,1,etat,1.0,MINEURE,NAB-ENER-031,7,4,0
DISK_FULL,DISK,91.83,90,%,1.0203,MAJEURE,ARI-ENB-014,14,2,1
SERVICE_DOWN,SERVICE,1.0,1,etat,1.0,MAJEURE,NAB-ENER-031,15,1,0
CPU_HIGH,CPU,61.82,85,%,0.7273,MINEURE,TUN-RTR-CORE-01,1,3,0
PING_LOSS,PACKET_LOSS,84.33,10,%,8.433,CRITIQUE,ARI-ENB-014,9,0,1
POWER_FAIL,VOLTAGE,51.82,48,V,1.0796,CRITIQUE,SOU-SRV-OSS-01,8,5,0
LINK_DOWN,LINK_STATUS,0.0,1,etat,0.0,MAJEURE,NAB-ENER-031,14,2,0
PING_LOSS,PACKET_LOSS,78.28,10,%,7.828,CRITIQUE,BIZ-ENB-022,14,0,1
AUTH_FAILURE,AUTH_FAIL,1.11,5,count,0.222,MINEURE,TUN-RTR-CORE-01,5,5,0
RAM_HIGH,RAM,30.74,90,%,0.3416,CRITIQUE,SOU-SRV-OSS-01,1,5,0
SERVICE_DOWN,SERVICE,0.0,1,etat,0.0,MAJEURE,TUN-RTR-CORE-01,22,0,1
AUTH_FAILURE,AUTH_FAIL,2.12,5,count,0.424,MINEURE,SOU-SRV-OSS-01,19,2,0
POWER_FAIL,VOLTAGE,53.93,48,V,1.1235,CRITIQUE,SOU-SRV-OSS-01,6,0,0
RAM_HIGH,RAM,92.55,90,%,1.0283,MAJEURE,NAB-ENER-031,2,6,1
PING_LOSS,PACKET_LOSS,3.29,10,%,0.329,MINEURE,NAB-ENER-031,0,2,0
PING_LOSS,PACKET_LOSS,7.42,10,%,0.742,MINEURE,TUN-RTR-CORE-01,21,6,0
PING_LOSS,PACKET_LOSS,1.58,10,%,0.158,CRITIQUE,SOU-SRV-OSS-01,14,0,0
POWER_FAIL,VOLTAGE,52.05,48,V,1.0844,CRITIQUE,NAB-ENER-031,0,4,0
SERVICE_DOWN,SERVICE,1.0,1,etat,1.0,MINEURE,TUN-RTR-CORE-01,4,2,0
PING_LOSS,PACKET_LOSS,8.87,10,%,0.887,CRITIQUE,BIZ-ENB-022,14,2,0
LINK_DOWN,LINK_STATUS,0.0,1,etat,0.0,MINEURE,ARI-ENB-014,22,2,0
PING_LOSS,PACKET_LOSS,5.76,10,%,0.576,MINEURE,BIZ-ENB-022,3,3,0
DISK_FULL,DISK,44.9,90,%,0.4989,CRITIQUE,BIZ-ENB-022,18,2,0
CPU_HIGH,CPU,98.89,85,%,1.1634,MAJEURE,SOU-SRV-OSS-01,9,5,1
DISK_FULL,DISK,70.24,90,%,0.7804,MAJEURE,SOU-SRV-OSS-01,16,0,0
RAM_HIGH,RAM,96.37,90,%,1.0708,MAJEURE,TUN-RTR-CORE-01,20,4,1
CPU_HIGH,CPU,20.95,85,%,0.2465,CRITIQUE,ARI-ENB-014,18,2,0
SERVICE_DOWN,SERVICE,1.0,1,etat,1.0,CRITIQUE,ARI-ENB-014,12,4,0
DISK_FULL,DISK,16.44,90,%,0.1827,MAJEURE,ARI-ENB-014,11,2,0
RAM_HIGH,RAM,67.52,90,%,0.7502,MAJEURE,NAB-ENER-031,8,4,0
SERVICE_DOWN,SERVICE,0.0,1,etat,0.0,MAJEURE,NAB-ENER-031,11,0,1
AUTH_FAILURE,AUTH_FAIL,3.17,5,count,0.634,MAJEURE,TUN-RTR-CORE-01,9,1,0
RAM_HIGH,RAM,71.23,90,%,0.7914,CRITIQUE,ARI-ENB-014,8,2,0
SERVICE_DOWN,SERVICE,1.0,1,etat,1.0,MINEURE,TUN-RTR-CORE-01,16,1,0
PING_LOSS,PACKET_LOSS,0.95,10,%,0.095,MAJEURE,BIZ-ENB-022,20,6,0
SERVICE_DOWN,SERVICE,1.0,1,etat,1.0,MINEURE,SOU-SRV-OSS-01,11,4,0
SERVICE_DOWN,SERVICE,1.0,1,etat,1.0,MINEURE,NAB-ENER-031,8,6,0
AUTH_FAILURE,AUTH_FAIL,81.56,5,count,16.312,MAJEURE,NAB-ENER-031,16,4,1
SERVICE_DOWN,SERVICE,1.0,1,etat,1.0,MINEURE,SOU-SRV-OSS-01,7,5,0
DISK_FULL,DISK,15.93,90,%,0.177,MINEURE,TUN-RTR-CORE-01,13,3,0
RAM_HIGH,RAM,49.74,90,%,0.5527,MINEURE,NAB-ENER-031,13,3,0
AUTH_FAILURE,AUTH_FAIL,59.79,5,count,11.958,MAJEURE,TUN-RTR-CORE-01,12,4,1
SERVICE_DOWN,SERVICE,0.0,1,etat,0.0,MAJEURE,SOU-SRV-OSS-01,15,2,1
POWER_FAIL,VOLTAGE,49.33,48,V,1.0277,MINEURE,TUN-RTR-CORE-01,20,6,0
CPU_HIGH,CPU,73.23,85,%,0.8615,MAJEURE,TUN-RTR-CORE-01,20,6,0
DISK_FULL,DISK,91.59,90,%,1.0177,CRITIQUE,NAB-ENER-031,22,5,1
RAM_HIGH,RAM,42.23,90,%,0.4692,CRITIQUE,ARI-ENB-014,2,1,0
DISK_FULL,DISK,17.68,90,%,0.1964,MINEURE,TUN-RTR-CORE-01,9,6,0
RAM_HIGH,RAM,72.04,90,%,0.8004,CRITIQUE,ARI-ENB-014,21,5,0
CPU_HIGH,CPU,41.55,85,%,0.4888,MINEURE,SOU-SRV-OSS-01,4,4,0
PING_LOSS,PACKET_LOSS,47.38,10,%,4.738,MAJEURE,ARI-ENB-014,10,4,1
SERVICE_DOWN,SERVICE,1.0,1,etat,1.0,MINEURE,BIZ-ENB-022,10,2,0
AUTH_FAILURE,AUTH_FAIL,58.38,5,count,11.676,MAJEURE,SOU-SRV-OSS-01,23,2,1
POWER_FAIL,VOLTAGE,30.52,48,V,0.6358,CRITIQUE,NAB-ENER-031,16,3,1
RAM_HIGH,RAM,93.57,90,%,1.0397,CRITIQUE,ARI-ENB-014,8,3,1
POWER_FAIL,VOLTAGE,50.62,48,V,1.0546,CRITIQUE,TUN-RTR-CORE-01,7,3,0
PING_LOSS,PACKET_LOSS,2.25,10,%,0.225,MINEURE,BIZ-ENB-022,6,3,0
SERVICE_DOWN,SERVICE,1.0,1,etat,1.0,MINEURE,SOU-SRV-OSS-01,9,3,0
DISK_FULL,DISK,24.5,90,%,0.2722,MAJEURE,NAB-ENER-031,7,6,0
AUTH_FAILURE,AUTH_FAIL,1.21,5,count,0.242,MINEURE,NAB-ENER-031,3,1,0
PING_LOSS,PACKET_LOSS,0.72,10,%,0.072,MINEURE,BIZ-ENB-022,21,6,0
SERVICE_DOWN,SERVICE,0.0,1,etat,0.0,CRITIQUE,ARI-ENB-014,17,5,1
PING_LOSS,PACKET_LOSS,2.55,10,%,0.255,CRITIQUE,SOU-SRV-OSS-01,15,4,0
SERVICE_DOWN,SERVICE,1.0,1,etat,1.0,CRITIQUE,BIZ-ENB-022,10,2,0
LINK_DOWN,LINK_STATUS,0.0,1,etat,0.0,MINEURE,SOU-SRV-OSS-01,1,4,0
RAM_HIGH,RAM,71.11,90,%,0.7901,MINEURE,SOU-SRV-OSS-01,2,4,0
AUTH_FAILURE,AUTH_FAIL,0.76,5,count,0.152,CRITIQUE,ARI-ENB-014,1,4,0
SERVICE_DOWN,SERVICE,1.0,1,etat,1.0,CRITIQUE,TUN-RTR-CORE-01,19,3,0
AUTH_FAILURE,AUTH_FAIL,3.1,5,count,0.62,MAJEURE,ARI-ENB-014,19,6,0
RAM_HIGH,RAM,35.5,90,%,0.3944,CRITIQUE,BIZ-ENB-022,0,4,0
AUTH_FAILURE,AUTH_FAIL,1.72,5,count,0.344,MINEURE,ARI-ENB-014,12,4,0
POWER_FAIL,VOLTAGE,50.65,48,V,1.0552,MAJEURE,ARI-ENB-014,16,3,0
SERVICE_DOWN,SERVICE,0.0,1,etat,0.0,MAJEURE,NAB-ENER-031,6,4,1
RAM_HIGH,RAM,79.47,90,%,0.883,MINEURE,NAB-ENER-031,3,4,0
AUTH_FAILURE,AUTH_FAIL,48.87,5,count,9.774,CRITIQUE,SOU-SRV-OSS-01,11,3,1
LINK_DOWN,LINK_STATUS,0.0,1,etat,0.0,MINEURE,SOU-SRV-OSS-01,21,6,0
POWER_FAIL,VOLTAGE,50.39,48,V,1.0498,MAJEURE,TUN-RTR-CORE-01,10,3,0
DISK_FULL,DISK,67.6,90,%,0.7511,MINEURE,ARI-ENB-014,14,3,0
RAM_HIGH,RAM,91.61,90,%,1.0179,MAJEURE,SOU-SRV-OSS-01,17,4,1
PING_LOSS,PACKET_LOSS,6.73,10,%,0.673,MINEURE,ARI-ENB-014,19,4,0
DISK_FULL,DISK,18.12,90,%,0.2013,CRITIQUE,BIZ-ENB-022,6,1,0
DISK_FULL,DISK,51.0,90,%,0.5667,MAJEURE,NAB-ENER-031,8,1,0
RAM_HIGH,RAM,91.71,90,%,1.019,MAJEURE,SOU-SRV-OSS-01,5,4,1
SERVICE_DOWN,SERVICE,0.0,1,etat,0.0,CRITIQUE,BIZ-ENB-022,14,5,1
LINK_DOWN,LINK_STATUS,0.0,1,etat,0.0,MAJEURE,BIZ-ENB-022,10,2,0
PING_LOSS,PACKET_LOSS,56.24,10,%,5.624,CRITIQUE,TUN-RTR-CORE-01,10,0,1
RAM_HIGH,RAM,91.17,90,%,1.013,CRITIQUE,BIZ-ENB-022,13,1,1
POWER_FAIL,VOLTAGE,1.77,48,V,0.0369,CRITIQUE,SOU-SRV-OSS-01,10,6,1
RAM_HIGH,RAM,77.39,90,%,0.8599,CRITIQUE,TUN-RTR-CORE-01,13,0,0
RAM_HIGH,RAM,65.36,90,%,0.7262,MAJEURE,SOU-SRV-OSS-01,16,2,0
CPU_HIGH,CPU,40.07,85,%,0.4714,MINEURE,TUN-RTR-CORE-01,18,3,0
DISK_FULL,DISK,44.61,90,%,0.4957,MAJEURE,NAB-ENER-031,3,0,0
RAM_HIGH,RAM,73.93,90,%,0.8214,MAJEURE,BIZ-ENB-022,10,4,0
LINK_DOWN,LINK_STATUS,0.0,1,etat,0.0,CRITIQUE,TUN-RTR-CORE-01,3,3,1
POWER_FAIL,VOLTAGE,53.25,48,V,1.1094,CRITIQUE,NAB-ENER-031,3,4,0
PING_LOSS,PACKET_LOSS,4.46,10,%,0.446,MINEURE,NAB-ENER-031,17,0,0
LINK_DOWN,LINK_STATUS,0.0,1,etat,0.0,MINEURE,BIZ-ENB-022,4,2,0
PING_LOSS,PACKET_LOSS,8.62,10,%,0.862,MINEURE,SOU-SRV-OSS-01,21,5,0
LINK_DOWN,LINK_STATUS,0.0,1,etat,0.0,CRITIQUE,ARI-ENB-014,4,1,1
PING_LOSS,PACKET_LOSS,6.17,10,%,0.617,MAJEURE,NAB-ENER-031,22,3,0
CPU_HIGH,CPU,75.67,85,%,0.8902,CRITIQUE,SOU-SRV-OSS-01,21,3,0
DISK_FULL,DISK,43.35,90,%,0.4817,MINEURE,TUN-RTR-CORE-01,12,3,0
LINK_DOWN,LINK_STATUS,0.0,1,etat,0.0,CRITIQUE,BIZ-ENB-022,13,0,1
DISK_FULL,DISK,75.3,90,%,0.8367,MAJEURE,TUN-RTR-CORE-01,1,1,0
POWER_FAIL,VOLTAGE,49.9,48,V,1.0396,MINEURE,NAB-ENER-031,2,3,0
PING_LOSS,PACKET_LOSS,5.64,10,%,0.564,MAJEURE,NAB-ENER-031,17,0,0
AUTH_FAILURE,AUTH_FAIL,0.91,5,count,0.182,CRITIQUE,ARI-ENB-014,4,0,0
SERVICE_DOWN,SERVICE,0.0,1,etat,0.0,CRITIQUE,ARI-ENB-014,11,4,1
RAM_HIGH,RAM,50.57,90,%,0.5619,MAJEURE,NAB-ENER-031,15,4,0
DISK_FULL,DISK,95.04,90,%,1.056,MAJEURE,TUN-RTR-CORE-01,2,0,1
AUTH_FAILURE,AUTH_FAIL,3.29,5,count,0.658,CRITIQUE,NAB-ENER-031,15,0,0
SERVICE_DOWN,SERVICE,1.0,1,etat,1.0,MINEURE,SOU-SRV-OSS-01,15,3,0
LINK_DOWN,LINK_STATUS,0.0,1,etat,0.0,CRITIQUE,SOU-SRV-OSS-01,13,4,0
DISK_FULL,DISK,94.74,90,%,1.0527,MAJEURE,NAB-ENER-031,6,2,1
LINK_DOWN,LINK_STATUS,0.0,1,etat,0.0,CRITIQUE,NAB-ENER-031,4,6,0
SERVICE_DOWN,SERVICE,0.0,1,etat,0.0,CRITIQUE,NAB-ENER-031,16,3,1
SERVICE_DOWN,SERVICE,1.0,1,etat,1.0,MINEURE,ARI-ENB-014,6,3,0
SERVICE_DOWN,SERVICE,0.0,1,etat,0.0,MAJEURE,NAB-ENER-031,19,5,1
RAM_HIGH,RAM,45.43,90,%,0.5048,MAJEURE,BIZ-ENB-022,18,3,0
LINK_DOWN,LINK_STATUS,0.0,1,etat,0.0,MAJEURE,BIZ-ENB-022,11,1,0
DISK_FULL,DISK,96.88,90,%,1.0764,MAJEURE,NAB-ENER-031,15,5,1
AUTH_FAILURE,AUTH_FAIL,3.02,5,count,0.604,CRITIQUE,TUN-RTR-CORE-01,4,5,0
AUTH_FAILURE,AUTH_FAIL,2.89,5,count,0.578,CRITIQUE,NAB-ENER-031,20,1,0
LINK_DOWN,LINK_STATUS,0.0,1,etat,0.0,MINEURE,TUN-RTR-CORE-01,11,6,0
RAM_HIGH,RAM,30.41,90,%,0.3379,CRITIQUE,NAB-ENER-031,22,1,0
PING_LOSS,PACKET_LOSS,0.71,10,%,0.071,MINEURE,BIZ-ENB-022,23,2,0
POWER_FAIL,VOLTAGE,18.0,48,V,0.375,CRITIQUE,SOU-SRV-OSS-01,11,1,1
AUTH_FAILURE,AUTH_FAIL,2.97,5,count,0.594,CRITIQUE,NAB-ENER-031,14,2,0
